label,eyes_with_change,visits,r_bcva,p_bcva,r_cst,p_cst
ir_hemorrhages,20,40,-0.44791158605539694,0.0037521796879941456,0.46990237950915564,0.002218204279661895
pavf,14,28,0.3936683858770987,0.03820392678368146,-0.3233863235639141,0.09322390179268206
srf,13,26,-0.5926241623737297,0.0014220200550436042,0.7517303432224087,9.546893625635891e-06
ez_disruption,12,24,0.38598235420965965,0.06247423903390305,-0.3980015085818134,0.05408558053691932
drt_me,11,22,-0.6500766613110123,0.001056521618722139,0.7770017341533382,2.1051891390214993e-05
favf,11,22,-0.2245793078276773,0.3149961185019614,0.23576612035398242,0.29084345737203315
preretinal_tissue,9,18,0.037555788309433985,0.8823837071224722,-0.0020201649192586046,0.9936525207684244
vitreous_debris,8,16,-0.3440104580768907,0.1920032339930075,0.4006606800455811,0.12407106024249695
atrophy_thinning,7,14,0.6910947404650881,0.006197760657176002,-0.6050141749759357,0.02188488647847015
irf,6,12,-0.8333333333333335,0.0007601199532611389,0.45725933935089175,0.13502807795365032
shrm,4,8,-0.015541746804005205,0.9708639169588524,0.10611294336322816,0.8025267199966748
rpe_disruption,3,6,0.2228124549277306,0.6713121232271775,-0.22244300938271433,0.6718388252347123
dril,2,4,-0.8479983040050881,0.15200169599491176,0.7696212980271971,0.23037870197280297
vmt,1,2,,,,
irhrf,0,0,,,,
ped_serous,0,0,,,,
