label,eyes_with_change,visits,r_bcva,p_bcva,r_cst,p_cst
ir_hemorrhages,22,44,-0.34812904694120167,0.020574173352203805,0.5213073217678665,0.00028509198873475586
drt_me,18,36,-0.352410486538666,0.03503123926032179,0.6889528472284175,3.387361459294871e-06
srf,14,28,-0.6564188177133453,0.00014861897870747245,0.8432905358172683,1.766674217073764e-08
ez_disruption,13,26,0.6609417090365036,0.00023724673278692731,-0.7545992359519336,8.440380273264235e-06
vitreous_debris,11,22,-0.24405148745018077,0.27371813089869124,0.32803088468209024,0.13612219949461438
irf,9,18,-0.73334434252601,0.0005340567184191914,0.503508702810063,0.0331519895124835
atrophy_thinning,9,18,0.24550017943353258,0.3261339824259203,-0.4950344183621632,0.03673107344345313
preretinal_tissue,8,16,0.24885056862419896,0.3526842657626186,0.3172585669877095,0.23117580649756356
shrm,7,14,0.19941002821319742,0.49430674374918976,0.3851559087188578,0.1738523679101421
pavf,7,14,0.6934810960180179,0.005950397495439175,-0.5700141654970513,0.03332108550047035
favf,6,12,-0.4783446031074605,0.1157040072268513,0.6173580460182141,0.0324518858548486
vmt,2,4,0.9743911956946198,0.02560880430538015,-0.8178064193007666,0.18219358069923342
rpe_disruption,2,4,0.9877629653290692,0.012237034670930846,-0.9994664446696815,0.0005335553303185137
dril,1,2,,,,
irhrf,0,0,,,,
ped_serous,0,0,,,,
